,GROUP 1,RUL 1,RUL 2,RUL 3,BOF 7,RUL 5,BOF 9,RUL 6,RUL 4,RUL 16,BOF 1,BOF 2,BOF 3,BOF 4,BOF 6,BOF 5
Daphnia obtusa,0,3,3,7,24,28,4,4,5,2,5,5,7,5,5,5
Chydorus sphaericus,0,14,5,32,24,32,35,32,17,5,32,32,24,5,5,5
Simocephalus vetulus,0,0,0,0,0,0,0,0,17,5,24,28,24,7,19,24
Daphnia pulex,0,0,0,0,0,0,0,0,0,0,22,5,7,22,5,22
Scapheloberis mucronata,0,0,0,0,0,0,0,35,0,29,0,22,19,22,0,19
Pleuroxus truncatus,0,0,0,0,0,0,0,0,34,0,35,32,22,22,0,32
Alona rectangula,0,0,0,0,0,35,0,19,19,16,0,0,0,0,24,0
Pleuroxus aduncus,0,0,0,0,0,0,0,0,0,16,35,32,0,0,22,24
Alona guttata,0,0,0,0,0,0,0,0,34,0,35,0,0,0,24,32
Picripleuroxus denticulatus,0,0,0,0,0,0,0,0,0,0,0,0,35,0,22,24
Bosmina longirostris,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0
Ceriodaphnia reticulata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,32
Ceriodaphnia quadrangula,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
Leydigia quadrangularis,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
Acroperus harpae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Daphnia ambigua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
